Encoder,Predictor,Target,Val Spearman,Val Score,Val Score Std,Held Spearman,Held RMSE,Held Sign Acc,Mean Regret,P90 Regret,Catastrophic Rate,CF-Real Gap,Unc-Error Corr,N Params,Latency ms
global-local,linear,realized_delta,0.0000,0.1325,0.0000,0.7099,0.0248,0.0000,0.0052,0.0147,0.0000,0.0678,0.0000,0,0.00
global-local,ridge,realized_delta,0.0000,0.1325,0.0000,0.7099,0.0248,0.0000,0.0052,0.0147,0.0000,0.0678,0.0000,0,0.00
geometric,linear,realized_delta,0.0000,0.1325,0.0000,0.7099,0.0248,0.0000,0.0052,0.0147,0.0000,0.0678,0.0000,0,0.00
minimal-control,tree,sign_delta,0.0000,0.1142,0.0000,0.5062,0.3869,0.0000,0.0333,0.0000,0.0333,0.5852,0.0000,0,0.00
global,tree,sign_delta,0.0000,0.1142,0.0000,0.5062,0.3869,0.0000,0.0333,0.0000,0.0333,0.5852,0.0000,0,0.00
learned-graph,tree,sign_delta,0.0000,0.1142,0.0000,0.5062,0.3869,0.0000,0.0333,0.0000,0.0333,0.5852,0.0000,0,0.00
minimal-control,global_mean,realized_delta,0.0000,0.0241,0.0000,-0.3044,0.0341,0.0000,0.0151,0.0415,0.0000,0.0000,0.0000,0,0.00
minimal-control,mutation_type_mean,realized_delta,0.0000,0.0241,0.0000,-0.3044,0.0341,0.0000,0.0151,0.0415,0.0000,0.0000,0.0000,0,0.00
minimal-control,nearest_experience,realized_delta,0.0000,0.1113,0.0000,0.6013,0.0287,0.0000,0.0072,0.0285,0.0000,0.8147,0.0000,0,0.00
minimal-control,global_mean,sign_delta,0.0000,0.0948,0.0000,-0.0226,0.4596,0.0000,0.4667,1.0000,0.4667,0.0000,0.0000,0,0.00
minimal-control,mutation_type_mean,sign_delta,0.0000,0.0000,0.0000,-0.0226,0.4596,0.0000,0.4667,1.0000,0.4667,0.0000,0.0000,0,0.00
minimal-control,nearest_experience,sign_delta,0.0000,0.0000,0.0000,0.5627,0.3568,0.0000,0.0333,0.0000,0.0333,0.2627,0.0000,0,0.00
