family,k_shots,r2_before,r2_after,rmse_before,rmse_after
circular_ladder,0,-10.000000,-10.000000,0.127536,0.127536
circular_ladder,5,-10.000000,-10.000000,0.127536,0.127268
circular_ladder,10,-10.000000,-10.000000,0.127536,0.126834
circular_ladder,25,-10.000000,-10.000000,0.127536,0.124572
circular_ladder,50,-10.000000,-9.474997,0.127536,0.121293
hypercube,0,-10.000000,-10.000000,0.179183,0.179183
hypercube,5,-10.000000,-10.000000,0.179183,0.178590
hypercube,10,-10.000000,-10.000000,0.179183,0.177828
hypercube,25,-10.000000,-10.000000,0.179183,0.174602
hypercube,50,-10.000000,-10.000000,0.179183,0.169434
ladder,0,-5.423800,-5.423800,0.095412,0.095412
ladder,5,-5.423800,-5.387646,0.095412,0.095143
ladder,10,-5.423800,-5.350080,0.095412,0.094863
ladder,25,-5.423800,-5.180520,0.095412,0.093588
ladder,50,-5.423800,-4.881593,0.095412,0.091296
wheel,0,-10.000000,-10.000000,0.299708,0.299708
wheel,5,-10.000000,-10.000000,0.299708,0.298013
wheel,10,-10.000000,-10.000000,0.299708,0.296525
wheel,25,-10.000000,-10.000000,0.299708,0.291014
wheel,50,-10.000000,-10.000000,0.299708,0.282107
